channel,c_output,golden,error
248,0.000000,-0.012253,0.012253
249,0.000000,0.005667,0.005667
250,0.000000,0.002062,0.002062
251,0.000000,0.004181,0.004181
252,717585483740950360000000000000000.000000,-0.022557,717585483740950360000000000000000.000000
253,0.000000,-0.011848,0.011848
254,0.000000,-0.020622,0.020622
255,0.000000,-0.008738,0.008738
256,0.000000,0.874374,0.874374
257,0.000000,0.015174,0.015174
258,0.000000,-0.024766,0.024766
259,0.000000,0.001410,0.001410
260,0.000000,-0.000128,0.000128
261,0.000000,0.038389,0.038389
262,0.000000,-0.017265,0.017265
263,0.000000,0.033934,0.033934
264,0.000000,0.023310,0.023310
265,0.000000,0.020378,0.020378
266,0.000000,-0.017566,0.017566
267,0.000000,0.015917,0.015917
268,0.000000,0.054339,0.054339
269,0.000000,0.002707,0.002707
270,0.000000,0.035231,0.035231
271,0.000000,-0.036974,0.036974
272,0.000000,0.022588,0.022588
273,0.000000,-0.061083,0.061083
274,0.000000,-0.035604,0.035604
275,0.000000,0.043003,0.043003
276,0.000000,0.025482,0.025482
277,0.000000,-0.037711,0.037711
278,0.000000,0.075073,0.075073
279,0.000000,0.041654,0.041654
280,0.000000,0.008724,0.008724
281,0.000000,0.039903,0.039903
282,0.000000,0.015865,0.015865
283,0.000000,0.023621,0.023621
284,0.000000,0.002119,0.002119
285,0.000000,0.020689,0.020689
286,0.000000,-0.035645,0.035645
287,0.000000,-0.013742,0.013742
288,0.000000,0.006868,0.006868
289,0.000000,0.059632,0.059632
290,0.000000,0.007865,0.007865
291,0.000000,0.052293,0.052293
292,0.000000,0.005568,0.005568
293,0.000000,0.042650,0.042650
294,0.000000,0.027592,0.027592
295,0.000000,0.003216,0.003216
296,0.000000,0.020755,0.020755
297,0.000000,0.022616,0.022616
298,0.000000,0.007686,0.007686
299,0.000000,0.026124,0.026124
300,0.000000,-0.003359,0.003359
301,0.000000,0.135928,0.135928
302,0.000000,0.022321,0.022321
303,0.000000,0.012821,0.012821
304,3485832105156060400000000000000000.000000,-0.018230,3485832105156060400000000000000000.000000
305,0.000000,0.023072,0.023072
306,3385881754839188200000000000000000.000000,0.046048,3385881754839188200000000000000000.000000
307,3699697697887973200000000000000000.000000,0.030276,3699697697887973200000000000000000.000000
308,0.000000,0.085266,0.085266
309,0.000000,0.031703,0.031703
310,0.000000,0.014309,0.014309
311,0.000000,-0.022588,0.022588
312,3385893205784551600000000000000000.000000,-0.119305,3385893205784551600000000000000000.000000
313,-0.000000,-0.007783,0.007783
314,0.000000,0.055073,0.055073
315,0.000000,0.006298,0.006298
316,0.000000,-0.066269,0.066269
317,3338345476300649300000000000000000.000000,0.010120,3338345476300649300000000000000000.000000
318,0.000000,0.022450,0.022450
319,0.000000,0.004473,0.004473
320,0.000000,0.008333,0.008333
321,0.000000,0.025508,0.025508
322,0.000000,-0.028949,0.028949
323,0.000000,0.119258,0.119258
324,0.000000,0.010101,0.010101
325,3470465864933420800000000000000000.000000,0.651704,3470465864933420800000000000000000.000000
326,-78550936777226058000000000000000.000000,-0.045728,78550936777226058000000000000000.000000
327,-1.#QNAN0,-0.003264,1.#QNAN0
328,0.000000,-0.030524,0.030524
329,3375032448334891200000000000000000.000000,0.039888,3375032448334891200000000000000000.000000
330,0.000000,0.029136,0.029136
331,0.000000,-2.253823,2.253823
332,0.000000,-0.061232,0.061232
333,0.000000,0.006600,0.006600
334,3375036162155009000000000000000000.000000,-0.000112,3375036162155009000000000000000000.000000
335,0.000000,0.027581,0.027581
336,0.000000,0.016144,0.016144
337,0.000000,0.999568,0.999568
338,0.000000,0.019912,0.019912
339,0.000000,-0.030983,0.030983
340,0.000000,0.066595,0.066595
341,0.000000,0.027923,0.027923
342,0.000000,0.033207,0.033207
343,0.000000,0.224219,0.224219
344,0.000000,0.041931,0.041931
345,0.000000,-0.049058,0.049058
346,-0.000000,-0.030360,0.030360
347,0.000000,0.000075,0.000075
348,0.000000,-0.002371,0.002371
349,0.000000,-0.029664,0.029664
350,717884910487952510000000000000000.000000,0.060075,717884910487952510000000000000000.000000
351,0.000000,0.039974,0.039974
352,0.000000,-0.020449,0.020449
353,717886922140516350000000000000000.000000,-0.747951,717886922140516350000000000000000.000000
354,0.000000,-0.008988,0.008988
355,0.000000,-0.041653,0.041653
356,0.000000,0.014340,0.014340
357,0.000000,0.110020,0.110020
358,0.000000,-0.022225,0.022225
359,3699697697887973200000000000000000.000000,0.034537,3699697697887973200000000000000000.000000
360,0.000000,0.000798,0.000798
361,0.000000,0.030524,0.030524
362,0.000000,0.026822,0.026822
363,0.000000,-0.051218,0.051218
364,0.000000,-0.004611,0.004611
365,0.000000,0.027766,0.027766
366,3476156365809005800000000000000000.000000,0.056232,3476156365809005800000000000000000.000000
367,0.000000,0.045192,0.045192
368,0.000000,-0.002725,0.002725
369,0.000000,-0.180595,0.180595
370,0.000000,-0.031835,0.031835
371,0.000000,-0.009889,0.009889
372,657240007502168200000000000000000.000000,0.038004,657240007502168200000000000000000.000000
373,0.000000,-0.001775,0.001775
374,0.000000,-0.008472,0.008472
375,0.000000,0.018516,0.018516
376,0.000000,0.016953,0.016953
377,776057415101526550000000000000000.000000,-0.037137,776057415101526550000000000000000.000000
378,0.000000,0.032500,0.032500
379,776073895178299530000000000000000.000000,-0.004617,776073895178299530000000000000000.000000
380,0.000000,0.020510,0.020510
381,0.000000,-0.046862,0.046862
382,0.000000,0.017385,0.017385
383,0.000000,0.040882,0.040882
