0, 226, 88.6%
1, 227, 89.0%
2, 221, 86.7%
3, 221, 86.7%
4, 221, 86.7%
5, 218, 85.5%
6, 222, 87.1%
7, 226, 88.6%
8, 217, 85.1%
9, 218, 85.5%
10, 212, 83.1%
11, 237, 92.9%
12, 215, 84.3%
13, 222, 87.1%
14, 238, 93.3%
15, 250, 98.0%
16, 239, 93.7%
17, 229, 89.8%
18, 223, 87.5%
19, 226, 88.6%
20, 233, 91.4%
21, 243, 95.3%
22, 240, 94.1%
23, 228, 89.4%
24, 231, 90.6%
25, 213, 83.5%
26, 215, 84.3%
27, 244, 95.7%
28, 246, 96.5%
29, 244, 95.7%
30, 254, 99.6%
31, 242, 94.9%
32, 253, 99.2%
33, 235, 92.2%
34, 247, 96.9%
35, 216, 84.7%
36, 219, 85.9%
37, 231, 90.6%
38, 220, 86.3%
39, 222, 87.1%
40, 214, 83.9%
41, 224, 87.8%
42, 252, 98.8%
43, 223, 87.5%
44, 239, 93.7%
45, 250, 98.0%
46, 232, 91.0%
47, 221, 86.7%
48, 253, 99.2%
49, 230, 90.2%
50, 250, 98.0%
51, 247, 96.9%
52, 219, 85.9%
53, 222, 87.1%
54, 214, 83.9%
55, 230, 90.2%
56, 235, 92.2%
57, 228, 89.4%
58, 241, 94.5%
59, 218, 85.5%
60, 233, 91.4%
61, 234, 91.8%
62, 250, 98.0%
63, 234, 91.8%
64, 254, 99.6%
65, 242, 94.9%
66, 223, 87.5%
67, 230, 90.2%
68, 227, 89.0%
69, 230, 90.2%
70, 244, 95.7%
71, 229, 89.8%
72, 223, 87.5%
73, 227, 89.0%
74, 235, 92.2%
75, 242, 94.9%
76, 249, 97.6%
77, 241, 94.5%
78, 252, 98.8%
79, 233, 91.4%
80, 226, 88.6%
81, 248, 97.3%
82, 232, 91.0%
83, 239, 93.7%
84, 242, 94.9%
85, 230, 90.2%
86, 250, 98.0%
87, 247, 96.9%
88, 242, 94.9%
89, 232, 91.0%
90, 239, 93.7%
91, 247, 96.9%
92, 242, 94.9%
93, 243, 95.3%
94, 247, 96.9%
95, 234, 91.8%
96, 236, 92.5%
97, 236, 92.5%
98, 230, 90.2%
99, 242, 94.9%
100, 244, 95.7%
101, 219, 85.9%
102, 234, 91.8%
103, 225, 88.2%
104, 228, 89.4%
105, 226, 88.6%
106, 230, 90.2%
107, 224, 87.8%
108, 247, 96.9%
109, 245, 96.1%
110, 238, 93.3%
111, 227, 89.0%
112, 223, 87.5%
113, 250, 98.0%
114, 246, 96.5%
115, 219, 85.9%
116, 241, 94.5%
117, 247, 96.9%
118, 220, 86.3%
119, 223, 87.5%
120, 245, 96.1%
121, 227, 89.0%
122, 249, 97.6%
123, 255, 100.0%
124, 248, 97.3%
125, 250, 98.0%
126, 222, 87.1%
127, 228, 89.4%
128, 249, 97.6%
129, 219, 85.9%
130, 255, 100.0%
131, 252, 98.8%
132, 216, 84.7%
133, 220, 86.3%
134, 236, 92.5%
135, 230, 90.2%
136, 221, 86.7%
137, 225, 88.2%
138, 228, 89.4%
139, 224, 87.8%
140, 219, 85.9%
141, 232, 91.0%
142, 237, 92.9%
143, 249, 97.6%
144, 249, 97.6%
145, 215, 84.3%
146, 215, 84.3%
147, 215, 84.3%
148, 235, 92.2%
149, 236, 92.5%
150, 238, 93.3%
151, 213, 83.5%
152, 246, 96.5%
153, 245, 96.1%
154, 228, 89.4%
155, 234, 91.8%
156, 226, 88.6%
157, 210, 82.4%
158, 214, 83.9%
159, 224, 87.8%
160, 222, 87.1%
161, 212, 83.1%
162, 222, 87.1%
163, 225, 88.2%
164, 217, 85.1%
165, 231, 90.6%
166, 233, 91.4%
167, 242, 94.9%
168, 239, 93.7%
169, 234, 91.8%
170, 232, 91.0%
171, 213, 83.5%
172, 223, 87.5%
173, 223, 87.5%
174, 215, 84.3%
175, 214, 83.9%
176, 215, 84.3%
177, 227, 89.0%
178, 231, 90.6%
179, 245, 96.1%
180, 246, 96.5%
181, 236, 92.5%
182, 238, 93.3%
183, 229, 89.8%
184, 246, 96.5%
185, 209, 82.0%
186, 213, 83.5%
187, 226, 88.6%
188, 208, 81.6%
189, 205, 80.4%
190, 210, 82.4%
191, 207, 81.2%
192, 217, 85.1%
193, 237, 92.9%
194, 247, 96.9%
195, 238, 93.3%
196, 217, 85.1%
