| ID   | Mean (Gold) | Mean (C) | Mean Err% | Var (Gold) | Var (C)  | Var Err% | Y MAE (%) |
| 57   |     -0.0329 |  -0.0328 |     0.45% |     0.8620 |   0.8958 |    3.92% |     2.24% |
| 58   |     -0.0056 |  -0.0053 |     5.80% |     0.9782 |   0.9925 |    1.46% |     2.67% |
| 59   |     -0.0274 |  -0.0268 |     1.96% |     0.8620 |   0.8671 |    0.59% |     3.04% |
| 60   |     -0.0282 |  -0.0281 |     0.40% |     0.9112 |   0.9294 |    2.00% |     2.50% |
| 61   |     -0.0244 |  -0.0240 |     1.78% |     1.0153 |   1.0324 |    1.68% |     3.03% |
| 62   |     -0.0242 |  -0.0247 |     1.74% |     1.0056 |   1.0029 |    0.27% |     2.93% |
| 63   |     -0.0873 |  -0.0876 |     0.31% |     1.1117 |   1.1100 |    0.15% |     4.71% |
| 64   |     -0.0756 |  -0.0751 |     0.67% |     1.0363 |   1.0571 |    2.00% |     3.82% |
| 65   |     -0.0405 |  -0.0407 |     0.63% |     1.0744 |   1.0904 |    1.49% |     4.33% |
| 66   |     -0.0154 |  -0.0150 |     2.43% |     1.0412 |   1.0527 |    1.11% |     3.42% |
| 67   |     -0.0247 |  -0.0253 |     2.13% |     1.0641 |   1.0636 |    0.05% |     4.31% |
| 68   |     -0.0154 |  -0.0155 |     0.77% |     1.1147 |   1.1459 |    2.80% |     4.38% |
| 69   |     -0.0355 |  -0.0352 |     0.71% |     0.9372 |   0.9499 |    1.35% |     3.06% |
| 70   |     -0.0214 |  -0.0213 |     0.47% |     0.8878 |   0.8993 |    1.30% |     2.28% |
| 71   |     -0.0190 |  -0.0188 |     0.80% |     1.0084 |   1.0246 |    1.61% |     3.58% |
| 72   |      0.0001 |   0.0000 |    84.26% |     0.9345 |   0.9257 |    0.95% |     3.09% |
| 73   |     -0.0172 |  -0.0172 |     0.43% |     0.9356 |   0.9342 |    0.15% |     2.89% |
| 74   |     -0.0206 |  -0.0207 |     0.66% |     0.9675 |   0.9820 |    1.50% |     2.21% |
| 75   |     -0.0306 |  -0.0307 |     0.39% |     1.0104 |   1.0417 |    3.10% |     2.88% |
| 76   |     -0.0289 |  -0.0281 |     2.80% |     1.0315 |   1.0497 |    1.77% |     3.04% |
| 77   |     -0.0796 |  -0.0803 |     0.77% |     1.0603 |   1.0753 |    1.42% |     3.48% |
| 78   |     -0.0814 |  -0.0820 |     0.79% |     1.0718 |   1.0782 |    0.60% |     3.93% |
| 79   |     -0.0421 |  -0.0417 |     1.01% |     1.0442 |   1.0586 |    1.38% |     4.37% |
| 80   |     -0.0045 |  -0.0046 |     2.05% |     1.0133 |   1.0423 |    2.87% |     3.26% |
| 81   |     -0.0171 |  -0.0172 |     0.45% |     1.0332 |   1.0307 |    0.24% |     3.49% |
| 82   |     -0.0214 |  -0.0216 |     1.15% |     1.1698 |   1.2078 |    3.25% |     4.60% |
| 83   |     -0.0267 |  -0.0268 |     0.09% |     0.9473 |   0.9723 |    2.64% |     3.07% |
| 84   |     -0.0191 |  -0.0193 |     0.75% |     0.8792 |   0.8949 |    1.79% |     2.31% |
| 85   |     -0.0014 |  -0.0012 |    15.67% |     0.8934 |   0.8953 |    0.22% |     2.81% |
| 86   |     -0.0124 |  -0.0125 |     0.29% |     0.9732 |   0.9853 |    1.24% |     2.89% |
| 87   |     -0.0186 |  -0.0185 |     0.85% |     0.9718 |   0.9803 |    0.88% |     2.99% |
