0, 226, 88.6%
1, 246, 96.5%
2, 230, 90.2%
3, 227, 89.0%
4, 244, 95.7%
5, 230, 90.2%
6, 237, 92.9%
7, 227, 89.0%
8, 232, 91.0%
9, 228, 89.4%
10, 223, 87.5%
11, 244, 95.7%
12, 224, 87.8%
13, 226, 88.6%
14, 232, 91.0%
15, 241, 94.5%
16, 230, 90.2%
17, 223, 87.5%
18, 222, 87.1%
19, 236, 92.5%
20, 244, 95.7%
21, 244, 95.7%
22, 251, 98.4%
23, 247, 96.9%
24, 243, 95.3%
25, 219, 85.9%
26, 223, 87.5%
27, 227, 89.0%
28, 238, 93.3%
29, 245, 96.1%
30, 229, 89.8%
31, 215, 84.3%
32, 218, 85.5%
33, 234, 91.8%
34, 218, 85.5%
35, 255, 100.0%
36, 247, 96.9%
37, 228, 89.4%
38, 212, 83.1%
39, 235, 92.2%
40, 222, 87.1%
41, 230, 90.2%
42, 243, 95.3%
43, 220, 86.3%
44, 233, 91.4%
45, 241, 94.5%
46, 231, 90.6%
47, 240, 94.1%
48, 242, 94.9%
49, 239, 93.7%
50, 238, 93.3%
51, 241, 94.5%
52, 249, 97.6%
53, 231, 90.6%
54, 228, 89.4%
55, 226, 88.6%
56, 246, 96.5%
57, 218, 85.5%
58, 237, 92.9%
59, 238, 93.3%
60, 236, 92.5%
61, 234, 91.8%
62, 247, 96.9%
63, 247, 96.9%
64, 241, 94.5%
65, 235, 92.2%
66, 234, 91.8%
67, 240, 94.1%
68, 245, 96.1%
69, 225, 88.2%
70, 236, 92.5%
71, 237, 92.9%
72, 234, 91.8%
73, 222, 87.1%
74, 239, 93.7%
75, 240, 94.1%
76, 245, 96.1%
77, 252, 98.8%
78, 245, 96.1%
79, 248, 97.3%
80, 250, 98.0%
81, 238, 93.3%
82, 248, 97.3%
83, 238, 93.3%
84, 237, 92.9%
85, 223, 87.5%
86, 224, 87.8%
87, 227, 89.0%
88, 241, 94.5%
89, 247, 96.9%
90, 243, 95.3%
91, 251, 98.4%
92, 238, 93.3%
93, 235, 92.2%
94, 238, 93.3%
95, 239, 93.7%
96, 240, 94.1%
97, 244, 95.7%
98, 228, 89.4%
99, 230, 90.2%
100, 216, 84.7%
101, 215, 84.3%
102, 236, 92.5%
103, 239, 93.7%
104, 236, 92.5%
105, 221, 86.7%
106, 231, 90.6%
107, 229, 89.8%
108, 228, 89.4%
109, 243, 95.3%
110, 230, 90.2%
111, 249, 97.6%
112, 228, 89.4%
113, 239, 93.7%
114, 215, 84.3%
115, 218, 85.5%
116, 234, 91.8%
117, 225, 88.2%
118, 218, 85.5%
119, 215, 84.3%
120, 236, 92.5%
121, 234, 91.8%
122, 229, 89.8%
123, 235, 92.2%
124, 232, 91.0%
125, 250, 98.0%
126, 215, 84.3%
127, 239, 93.7%
128, 213, 83.5%
129, 218, 85.5%
130, 224, 87.8%
131, 219, 85.9%
132, 241, 94.5%
133, 223, 87.5%
134, 234, 91.8%
135, 239, 93.7%
136, 224, 87.8%
137, 229, 89.8%
138, 243, 95.3%
139, 211, 82.7%
140, 217, 85.1%
141, 229, 89.8%
142, 221, 86.7%
143, 229, 89.8%
144, 221, 86.7%
145, 245, 96.1%
146, 227, 89.0%
147, 227, 89.0%
148, 232, 91.0%
149, 222, 87.1%
150, 234, 91.8%
151, 230, 90.2%
152, 232, 91.0%
153, 229, 89.8%
154, 227, 89.0%
155, 234, 91.8%
156, 213, 83.5%
157, 201, 78.8%
158, 226, 88.6%
159, 229, 89.8%
160, 223, 87.5%
161, 222, 87.1%
162, 219, 85.9%
163, 211, 82.7%
164, 219, 85.9%
165, 242, 94.9%
166, 208, 81.6%
167, 254, 99.6%
168, 236, 92.5%
169, 226, 88.6%
170, 210, 82.4%
171, 215, 84.3%
172, 216, 84.7%
173, 215, 84.3%
174, 211, 82.7%
175, 209, 82.0%
176, 206, 80.8%
177, 229, 89.8%
178, 220, 86.3%
179, 208, 81.6%
180, 206, 80.8%
181, 218, 85.5%
182, 225, 88.2%
183, 228, 89.4%
184, 218, 85.5%
185, 223, 87.5%
186, 218, 85.5%
187, 223, 87.5%
188, 214, 83.9%
189, 206, 80.8%
190, 212, 83.1%
191, 210, 82.4%
192, 224, 87.8%
193, 225, 88.2%
194, 205, 80.4%
195, 202, 79.2%
196, 217, 85.1%
